time,key
1729563168.0861533,'t'
1729563168.2889793,'e'
1729563168.4910703,'s'
1729563168.6260717,'t'
1729563169.0993378,Key.ctrl_l
1729563169.1896298,Key.space
1729563169.6388078,'1'
1729563171.709857,<97>
1729563171.7768538,<98>
1729563171.934627,<99>
1729563172.025046,<100>
1729563172.1809096,<101>
1729563172.4293983,<102>
1729563186.8749673,'c'
1729563187.0993166,'1'
1729563261.2178438,'t'
1729563261.3975794,'e'
1729563261.5326412,'s'
1729563261.6457431,'t'
1729563261.91475,'2'
1729563263.5809438,'1'
1729563263.7826695,'2'
1729563263.9411826,'3'
1729563264.2557895,'4'
1729563264.480279,'5'
1729563264.6828136,'6'
1729563265.9208992,'1'
1729563266.0099535,'2'
1729563266.257878,'3'
1729563266.461159,'4'
1729563266.6861622,'5'
1729563266.8878987,'6'
1729563269.588042,'z'
1729563269.6570756,'h'
1729563269.904011,'i'
1729563271.0729516,'u'
1729563271.2525463,Key.shift
1729563271.4780402,'@'
1729563271.6810741,'1'
1729563271.8828733,'2'
1729563272.1759534,'6'
1729563272.3789258,'.'
1729563272.5587614,'c'
1729563272.6257157,'o'
1729563272.7837486,'m'
1729563284.259096,'t'
1729563284.4612617,'e'
1729563284.5288846,'e'
1729563284.7766635,'s'
1729563284.888498,'t'
1729563285.0915396,'2'
1729563285.8789613,'1'
1729563285.991572,'2'
1729563286.2162838,'3'
1729563286.5318694,'4'
1729563286.7785838,'5'
1729563286.9809222,'6'
1729563287.1862986,'7'
1729563287.7688146,'1'
1729563287.8807967,'2'
1729563288.129088,'3'
1729563288.354255,'4'
1729563288.6026993,'5'
1729563288.8047018,'6'
1729563289.00673,'7'
1729563289.8404512,'z'
1729563290.0421174,'q'
1729563290.693546,'z'
1729563290.7840843,'q'
1729563291.5260463,Key.shift
1729563291.5720162,'!'
1729563292.1111228,Key.shift
1729563292.1801274,'!'
1729563293.0791776,'z'
1729563293.2586286,'h'
1729563293.4388373,'i'
1729563293.5961285,'u'
1729563293.7308466,Key.shift
1729563293.7988555,'@'
1729563293.9785066,'1'
1729563294.181423,'2'
1729563294.4962904,'6'
1729563294.6095753,'.'
1729563294.766486,'c'
1729563294.8125374,'o'
1729563294.946964,'m'
1729563312.9242847,'c'
1729563313.1953125,'1'
