time,x,y,direction
1728453419.86478,-882,864,down
1728453419.8957899,-882,864,down
1728453419.9107964,-882,864,down
1728453419.917793,-882,864,down
1728453419.925789,-882,864,down
1728453419.932826,-882,864,down
1728453419.9487913,-882,864,down
1728453419.9557917,-882,864,down
1728453419.9773855,-882,864,down
1728453420.2182128,-882,865,down
1728453420.232211,-882,865,down
1728453420.247218,-882,865,down
1728453420.2552395,-882,865,down
1728453420.2705262,-882,865,down
1728453420.2935233,-882,865,down
1728453440.1391814,-654,915,up
1728453440.161331,-654,915,up
1728453440.1765258,-654,915,up
1728453440.1915252,-654,915,up
1728453440.213522,-654,915,up
1728453440.2738066,-654,915,up
1728453441.788508,-654,915,down
1728453441.8040028,-654,915,down
1728453441.8110027,-654,915,down
1728453441.8263361,-654,915,down
1728453441.834335,-654,915,down
1728453441.848331,-654,915,down
1728453441.8713448,-654,915,down
1728453442.4412208,-654,915,up
1728453442.4562469,-654,915,up
1728453442.4707477,-654,915,up
1728453442.4867465,-654,915,up
1728453442.5029292,-654,915,up
1728453442.5159276,-654,915,up
1728453443.54407,-654,915,down
1728453443.5590074,-654,915,down
1728453443.5670073,-654,915,down
1728453443.5818393,-654,915,down
1728453443.588837,-654,915,down
1728453443.603758,-654,915,down
1728453443.6338103,-654,915,down
1728453444.1660666,-654,915,up
1728453444.2038913,-654,915,up
1728453444.2189078,-654,915,up
1728453444.2409036,-654,915,up
1728453444.2640939,-654,915,up
1728453444.3470013,-654,915,up
1728453444.8191314,-654,915,down
1728453444.8341503,-654,915,down
1728453444.8421533,-654,915,down
1728453444.8491945,-654,915,down
1728453444.8642397,-654,915,down
1728453444.887191,-654,915,down
1728453446.0795002,-665,967,up
1728453446.0934942,-665,967,up
1728453446.1094403,-665,967,up
1728453446.123663,-665,967,up
1728453446.1386802,-665,967,up
1728453446.1759577,-665,967,up
1728453446.8815286,-665,967,down
1728453446.8965306,-665,967,down
1728453446.911529,-665,967,down
1728453446.933366,-665,967,down
1728453446.972167,-665,967,down
1728453447.4438736,-665,967,down
1728453447.467297,-665,967,down
1728453447.5114062,-665,967,down
1728453447.9459653,-665,967,up
1728453447.9764748,-665,967,up
1728453447.9914753,-665,967,up
1728453448.0134964,-665,967,up
1728453448.028565,-665,967,up
1728453448.058578,-665,967,up
1728453448.103581,-665,967,up
1728453448.6380582,-665,967,down
1728453448.6585467,-665,967,down
1728453448.6662474,-665,967,down
1728453448.6817772,-665,967,down
1728453448.6917777,-665,967,down
1728453448.7037935,-665,967,down
1728453448.7493658,-665,967,down
1728453450.1818233,-643,962,up
1728453450.2116482,-643,962,up
1728453450.2270832,-643,962,up
1728453450.249715,-643,962,up
1728453450.2787108,-643,962,up
1728453450.5633671,-643,962,up
1728453450.602368,-643,962,up
1728453450.6163657,-643,962,up
1728453450.6388407,-643,962,up
